(swalp) qian@salad:~/mi2019/SWALP$ ./exp/block_vgg_swa.sh CIFAR10 100
Checkpoint directory ./checkpoint/block-CIFAR10-VGG16LP/seed100
Tensorboard loggint at runs/block-CIFAR10-VGG16LP/seed100_10_24_00_36
Prepare data loaders:
Loading dataset CIFAR10 from .
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Prepare quantizers:
Block rounding, W:8, A:8, G:8, E:8, Acc:8
lr init: 0.05
swa start: 200.0 swa lr: 0.01
Model: VGG16LP
Prepare SWA training
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
  81    0.0500     0.3860   88.0600     0.4941   84.8100                 53.5707
  82    0.0500     0.3898   87.9680     0.5080   84.5500                 53.5334
  83    0.0500     0.3829   88.0740     0.4343   86.4400                 53.4711
  84    0.0500     0.3866   88.1200     0.5018   84.2900                 53.6493
  85    0.0500     0.3797   88.2980     0.4567   86.7500                 53.5938
  86    0.0500     0.3820   88.2380     0.4753   85.7300                 53.5835
  87    0.0500     0.3773   88.2720     0.4893   85.0500                 53.4077
  88    0.0500     0.3788   88.1820     0.5493   83.8100                 53.5475
  89    0.0500     0.3776   88.1320     0.4526   85.7800                 53.5339
  90    0.0500     0.3915   87.6980     0.5364   84.7200                 53.5255
  91    0.0500     0.3867   87.9500     0.4226   86.4700                 53.6249
  92    0.0500     0.3729   88.3300     0.4500   85.8800                 53.6166
  93    0.0500     0.3827   88.2000     0.5300   84.6100                 53.5367
  94    0.0500     0.3737   88.3080     0.4311   86.4600                 53.5570
  95    0.0500     0.3846   87.9800     0.4661   86.1300                 53.6461
  96    0.0500     0.3735   88.3880     0.4918   84.9000                 53.6431
  97    0.0500     0.3847   88.1660     0.4665   86.2700                 53.5736
  98    0.0500     0.3690   88.5760     0.4295   86.4900                 53.5817
  99    0.0500     0.3713   88.4520     0.4424   86.5100                 53.6418
 100    0.0500     0.3717   88.4800     0.5043   85.0100                 53.7086
 101    0.0500     0.3756   88.1980     0.5516   85.5600                 53.5930
 102    0.0494     0.3633   88.4660     0.4808   85.7200                 53.4842
 103    0.0488     0.3592   88.7520     0.4424   86.6200                 53.4342
 104    0.0481     0.3684   88.6200     0.4440   86.1900                 53.4913
 105    0.0475     0.3594   88.6920     0.4381   86.6500                 53.5342
 106    0.0469     0.3503   89.1080     0.4609   86.0800                 53.5957
 107    0.0463     0.3358   89.3000     0.4167   87.2900                 53.5940
 108    0.0457     0.3428   89.1340     0.4405   86.3100                 53.4893
 109    0.0450     0.3464   89.1880     0.4460   86.0000                 53.5977
 110    0.0444     0.3380   89.3980     0.3780   87.8900                 53.4954
 111    0.0438     0.3285   89.7820     0.4898   86.0900                 53.5774
 112    0.0432     0.3315   89.5660     0.4331   87.0800                 53.5096
 113    0.0426     0.3185   90.0400     0.4502   85.8600                 53.5415
 114    0.0420     0.3236   89.8100     0.4154   87.0200                 53.5383
 115    0.0413     0.3160   90.0840     0.3914   87.4400                 53.6262
 116    0.0407     0.3196   89.9700     0.4456   86.2900                 53.6154
 117    0.0401     0.2956   90.5080     0.4486   86.2200                 53.4738
 118    0.0395     0.3080   90.3320     0.3754   88.4300                 53.5279
 119    0.0389     0.2907   90.7800     0.3902   88.2900                 53.6340
 120    0.0382     0.2979   90.6820     0.4483   86.4700                 53.5496
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
 121    0.0376     0.2953   90.7060     0.4433   86.9500                 53.6378
 122    0.0370     0.2946   90.6960     0.4234   86.7100                 53.6147
 123    0.0364     0.2821   91.1020     0.3701   89.1300                 53.5974
 124    0.0358     0.2770   91.4100     0.3946   87.5300                 53.4860
 125    0.0352     0.2698   91.4420     0.4096   87.4800                 53.5466
 126    0.0345     0.2578   91.6820     0.3795   87.8400                 53.5332
 127    0.0339     0.2605   91.7720     0.3887   88.5400                 53.5807
 128    0.0333     0.2585   91.8700     0.4105   87.0700                 53.4064
 129    0.0327     0.2528   92.0780     0.4106   87.8100                 53.5202
 130    0.0321     0.2427   92.1540     0.3887   88.5700                 53.6582
 131    0.0314     0.2460   92.0860     0.4044   88.7900                 53.5699
 132    0.0308     0.2420   92.2900     0.3570   89.2400                 53.6149
 133    0.0302     0.2347   92.3800     0.4184   87.3900                 53.4798
 134    0.0296     0.2262   92.7720     0.3834   88.6900                 53.6387
 135    0.0290     0.2221   92.8520     0.3708   89.0900                 53.6372
 136    0.0283     0.2224   93.0180     0.3755   88.7900                 53.4931
 137    0.0277     0.2098   93.3020     0.3970   88.6000                 53.5338
 138    0.0271     0.2196   93.0460     0.3594   89.1900                 53.6381
 139    0.0265     0.2087   93.2940     0.3637   89.5000                 53.6555
 140    0.0259     0.1964   93.7300     0.3646   89.2300                 53.6704
 141    0.0253     0.1934   93.8440     0.3498   89.6600                 53.5316
 142    0.0246     0.1883   94.0580     0.3710   89.0600                 53.6343
 143    0.0240     0.1900   93.8580     0.3399   89.7100                 53.4908
 144    0.0234     0.1806   94.3100     0.3860   89.0800                 53.4838
 145    0.0228     0.1765   94.3240     0.3491   89.3500                 53.5289
 146    0.0222     0.1748   94.4920     0.3525   89.3600                 53.5932
 147    0.0215     0.1739   94.4160     0.3371   90.0300                 53.4783
 148    0.0209     0.1628   94.6960     0.3503   89.2700                 53.5202
 149    0.0203     0.1663   94.6940     0.3301   90.1800                 53.5904
 150    0.0197     0.1478   95.1620     0.3286   90.3500                 53.7121
 151    0.0191     0.1456   95.3300     0.3798   89.9500                 53.7722
 152    0.0184     0.1426   95.4700     0.3598   89.5800                 53.4399
 153    0.0178     0.1474   95.2580     0.3624   89.7800                 53.5583
 154    0.0172     0.1367   95.6380     0.3560   89.1600                 53.5002
 155    0.0166     0.1327   95.6760     0.3520   89.8800                 53.5405
 156    0.0160     0.1228   96.1340     0.3894   89.6200                 53.5561
 157    0.0154     0.1217   96.1420     0.3441   90.3500                 53.5564
 158    0.0147     0.1185   96.1480     0.3433   90.6200                 53.5897
 159    0.0141     0.1055   96.6180     0.3766   89.7300                 53.4616
 160    0.0135     0.1038   96.6920     0.3530   90.2400                 53.6260
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
 161    0.0129     0.0966   96.9380     0.3595   90.1500                 53.5162
 162    0.0123     0.0915   97.0780     0.3617   90.5100                 53.6361
 163    0.0116     0.0863   97.2320     0.3608   90.3100                 53.5042
 164    0.0110     0.0810   97.3960     0.3580   90.2300                 53.6527
 165    0.0104     0.0783   97.4480     0.3199   91.7300                 53.4979
 166    0.0098     0.0733   97.5840     0.3353   90.8500                 53.6826
 167    0.0092     0.0644   97.9360     0.3625   90.6700                 53.6329
 168    0.0085     0.0629   97.9880     0.3568   91.2500                 53.5666
 169    0.0079     0.0564   98.2040     0.3453   91.2800                 53.5676
